Time Period,start:,2020/10/18 11:17,end:,,,,,,
Sensors:,SDS011_1,DHT22_1,,,,,,,
Location:,Bike_GPS,Lat-Lon,34.715474,135.584539,,,,,
Interval time,5,,,,,,,,
time,lat,lon,alt,DHT-RH,DHT-T,sds-pm2.5,sds-pm10,sds-TSP,
2020/10/18 11:17,34.9669005,135.7719267,23.8,nan,nan,7.4,9.2,1.5,0
2020/10/18 11:59,34.96701617,135.7717632,34.4,nan,nan,8.1,9.8,2.8,0
2020/10/18 12:00,34.96701067,135.7710917,33,nan,nan,7.7,13.4,6,0
2020/10/18 12:01,34.967049,135.770908,31.7,nan,nan,8.4,11.6,4.9,0
2020/10/18 12:01,34.96752717,135.7709407,31.5,nan,nan,7.7,9.3,1.9,0
2020/10/18 12:02,34.96787317,135.77086,33.3,nan,nan,9.4,11.8,6.1,0
2020/10/18 12:03,34.96789583,135.7703077,29,nan,nan,8.6,9.6,3.1,0
2020/10/18 12:04,34.96805283,135.7698275,24.9,nan,nan,9.3,12.4,6.6,0
2020/10/18 12:04,34.96820267,135.7694325,27.2,nan,nan,9.4,12.2,6.5,0
2020/10/18 12:05,34.96833267,135.7689437,28.5,nan,nan,7.8,8.9,1.6,0
2020/10/18 12:06,34.9683605,135.7685757,33.5,nan,nan,13.1,17.7,15.7,0
2020/10/18 12:06,34.96831233,135.7684712,51.9,nan,nan,9.6,13.3,7.8,0
2020/10/18 12:07,34.96826767,135.7684265,61.4,nan,nan,10.8,14.1,9.8,0
2020/10/18 12:08,34.968262,135.768407,61.5,nan,nan,8.9,11.6,5.4,0
2020/10/18 12:09,34.96830033,135.7684252,58.2,nan,nan,8.6,11.3,4.8,0
2020/10/18 12:09,34.96808333,135.7684112,40.1,nan,nan,8.3,9.2,2.4,0
2020/10/18 12:10,34.96817017,135.7664983,16.1,nan,nan,7.4,9.3,1.6,0
2020/10/18 12:11,34.96841283,135.7646928,11.7,nan,nan,8,9.2,2.1,0
2020/10/18 12:11,34.96874767,135.7630138,12.9,nan,nan,7.7,8.6,1.2,0
2020/10/18 12:12,34.96904067,135.7627727,21.5,nan,nan,8.7,9.7,3.3,0
2020/10/18 12:13,34.9674505,135.7624728,22.7,nan,nan,16.1,28.2,3.7,0
2020/10/18 12:13,34.96631417,135.7617558,18.4,nan,nan,8.9,10.2,4,0
2020/10/18 12:14,34.96486617,135.7613955,7,nan,nan,8.5,10,3.4,0
2020/10/18 12:15,34.96372483,135.7603213,11.4,nan,nan,9.8,12.2,6.9,0
2020/10/18 12:16,34.9633415,135.759296,11,nan,nan,9.3,12.6,6.8,0
2020/10/18 12:16,34.963613,135.7578355,14.9,nan,nan,8.3,9.4,2.6,0
2020/10/18 12:17,34.96471717,135.7581103,18.3,nan,nan,8,9.6,2.5,0
2020/10/18 12:18,34.967136,135.7601215,20,nan,nan,7.8,9.3,2,0
2020/10/18 12:19,34.96890617,135.7615198,20.8,nan,nan,9.2,12.6,6.7,0
2020/10/18 12:19,34.97022233,135.7626518,21.5,nan,nan,7.9,10.1,2.9,0
2020/10/18 12:20,34.97018483,135.7626663,18.9,nan,nan,7,9.1,1,0
2020/10/18 12:21,34.97017233,135.7626742,17.5,nan,nan,7.3,13.4,5.6,0
2020/10/18 12:22,34.97016183,135.7626748,16.6,nan,nan,6.7,8.4,0,0
2020/10/18 12:22,34.97016617,135.762679,17.9,nan,nan,8.3,11.6,4.8,0
2020/10/18 12:23,34.9693515,135.762219,23.2,nan,nan,8.1,10.7,3.7,0
2020/10/18 12:24,34.97049133,135.7628562,26,nan,nan,8.2,9.6,2.7,0
2020/10/18 12:25,34.97039383,135.7619222,25.2,nan,nan,8.1,9.6,2.6,0
2020/10/18 12:25,34.96904217,135.7607568,21.5,nan,nan,8.5,9.8,3.2,0
2020/10/18 12:26,34.96748683,135.7594477,20.5,nan,nan,8.5,10.2,3.6,0
2020/10/18 12:27,34.966065,135.75821,20.6,nan,nan,8.2,10.6,3.7,0
2020/10/18 12:28,34.96457383,135.7568985,16.2,nan,nan,6.8,11.2,2.9,0
2020/10/18 12:28,34.9636105,135.7560297,16.6,nan,nan,6.6,9.5,1,0
2020/10/18 12:29,34.96253833,135.7548988,17,nan,nan,5.9,9.6,0.4,0
2020/10/18 12:30,34.96232317,135.7546142,20.6,nan,nan,8,11.8,4.7,0
2020/10/18 12:30,34.96161517,135.753705,21.9,nan,nan,7.6,9.2,1.7,0
2020/10/18 12:31,34.960835,135.7539093,21.5,nan,nan,7.7,10.2,2.8,0
2020/10/18 12:32,34.95966283,135.7531657,15,nan,nan,8.1,9.1,2.1,0
2020/10/18 12:33,34.95819533,135.7514403,10.6,nan,nan,7.6,8.5,1,0
2020/10/18 12:33,34.95699367,135.7499575,13.9,nan,nan,7,9.4,1.3,0
2020/10/18 12:34,34.95623183,135.7487347,16.8,nan,nan,7.9,10.4,3.2,0
