Time Period,start:,2020/6/27 11:10,end:,,,,,
Sensors:,SDS011_1,DHT22_1,,,,,,
Location:,Myoukenguchi_GPS,Lat-Lon,34.76690737,135.6745878,,,,
Interval time,10,,,,,,,
time,lat,lon,alt,DHT-RH,DHT-T,sds-pm2.5,sds-pm10,sds-TSP
2020/6/28 10:57:40,34.91174417,135.44536,198.3,86.09999847,25.89999962,7.7,11.1,3.7
2020/6/28 10:57:50,34.9116515,135.4453242,197.7,85.69999695,25.89999962,8,10.6,3.5
2020/6/28 10:58:00,34.91153333,135.4452703,196,88.09999847,25.79999924,8,10.3,3.2
2020/6/28 10:58:10,34.91142,135.4451792,193.8,88.5,25.70000076,7,13.5,5.4
2020/6/28 10:58:20,34.911347,135.4450525,197.2,88.90000153,25.5,6.6,14.3,5.8
2020/6/28 10:58:30,34.91128083,135.4449405,198.5,89.09999847,25.5,6.5,10.4,1.8
2020/6/28 10:58:40,34.91121633,135.4448283,198.4,89.40000153,25.5,6.6,11.7,3.2
2020/6/28 10:58:50,34.91116783,135.444711,197.4,90.40000153,25.5,8.6,17.8,11.3
2020/6/28 10:59:00,34.91112167,135.4445842,197.2,90.90000153,25.5,9.1,18.9,12.9
2020/6/28 10:59:10,34.91107148,135.4444585,196.629,91.19999695,25.5,9.6,24.9,19.4
2020/6/28 10:59:20,34.91101867,135.4443402,196.6,90.30000305,25.39999962,9,22.3,16.2
2020/6/28 10:59:30,34.91095033,135.4442197,196.1,89.09999847,25.39999962,7.9,15.4,8.2
2020/6/28 10:59:40,34.91087183,135.4441167,196,88.80000305,23.89999962,7.6,14.7,7.2
2020/6/28 10:59:50,34.91077567,135.4440332,195.4,87.90000153,25.5,7.5,13.9,6.3
2020/6/28 11:00:00,34.91065517,135.444013,195.9,87.80000305,25.5,7.4,13.3,5.6
2020/6/28 11:00:10,34.91054762,135.4440545,195.265,87.59999847,25.5,7.4,14.4,6.7
2020/6/28 11:00:20,34.91045283,135.4441068,195.5,88.19999695,25.70000076,7.2,12.3,4.4
2020/6/28 11:00:30,34.91036617,135.4441923,192.8,88.19999695,25.70000076,7.3,12.2,4.4
2020/6/28 11:00:40,34.91028067,135.4442993,192.1,88,25.70000076,7.2,12.1,4.2
2020/6/28 11:00:50,34.91025114,135.4444331,193.349,87.80000305,25.70000076,7.1,15.9,7.9
2020/6/28 11:01:00,34.910228,135.444591,190.1,87.69999695,25.79999924,7,18.7,10.6
2020/6/28 11:01:10,34.910218,135.444728,191.331,88.40000153,25.89999962,6.9,12.9,4.7
2020/6/28 11:01:20,34.91019267,135.4448648,192.2,88.40000153,25.89999962,7.1,13.2,5.2
2020/6/28 11:01:30,34.91018517,135.4450093,191,87.80000305,25.89999962,7.2,13.3,5.4
2020/6/28 11:01:40,34.91012233,135.4451478,187.4,88.09999847,25.89999962,6.9,15.4,7.2
2020/6/28 11:01:50,34.91007167,135.4452608,189.4,87.90000153,25.89999962,7,12.7,4.6
2020/6/28 11:02:00,34.9099945,135.445347,189.4,87,25.89999962,7,12.4,4.3
2020/6/28 11:02:10,34.90991017,135.4454232,190.1,86.59999847,25.89999962,nan,nan,nan
2020/6/28 11:02:20,34.90989183,135.4454468,190.3,88.90000153,25.89999962,6.2,12.6,3.7
2020/6/28 11:02:30,34.90988617,135.4454507,191.4,89.69999695,26.10000038,6.2,12.4,3.5
2020/6/28 11:02:40,nan,nan,nan,89.40000153,26.10000038,5.7,11.4,2
2020/6/28 11:02:50,34.9098855,135.4454958,190.1,90,26.20000076,5.5,10.7,1.1
2020/6/28 11:03:00,34.90990918,135.4455939,189.994,88,26.39999962,5.6,8.3,24.4
2020/6/28 11:03:10,34.90993733,135.4457192,188.4,85.80000305,26.39999962,5.6,7.6,23.7
2020/6/28 11:03:20,34.90993833,135.4458088,189.169,86.09999847,26.60000038,6,7.3,23.8
2020/6/28 11:03:30,34.90996283,135.4459808,190.8,86.59999847,26.60000038,6.1,7.5,24.1
2020/6/28 11:03:40,34.91000533,135.4461088,190.4,85.30000305,26.60000038,7.4,8.3,0.6
2020/6/28 11:03:50,34.91005817,135.446238,189.6,86.90000153,26.60000038,7.5,8.5,0.9
2020/6/28 11:04:00,34.91009133,135.4463705,189.3,86.40000153,26.60000038,7.9,8.8,1.6
2020/6/28 11:04:10,34.91012583,135.4464958,191.2,84.90000153,26.60000038,7.6,8.5,1
2020/6/28 11:04:20,34.91015933,135.4466337,193.2,84.90000153,26.60000038,7.4,9,1.3
2020/6/28 11:04:30,34.91020183,135.4467628,193,84.69999695,26.60000038,7.5,10.9,3.3
2020/6/28 11:04:40,34.91022481,135.4469054,189.389,86.40000153,26.60000038,8,12.4,5.3
2020/6/28 11:04:50,34.91023997,135.447046,189.581,86.90000153,26.39999962,8.7,13.2,6.8
2020/6/28 11:05:00,34.9102455,135.4471847,191.2,86.30000305,26.39999962,9.7,12.7,7.3
2020/6/28 11:05:10,34.9102075,135.4473327,192.7,85.59999847,26.39999962,8.1,16.8,9.8
2020/6/28 11:05:20,34.91019067,135.4474825,192.1,85.09999847,26.39999962,7.8,15.5,8.2
2020/6/28 11:05:30,34.91017483,135.447614,193,88,26.29999924,6.7,15.6,7.2
2020/6/28 11:05:40,34.91015,135.4477478,194.3,88.30000305,26.29999924,6.1,10,1
2020/6/28 11:05:50,34.91012033,135.4478785,193.9,88.30000305,26.29999924,6.2,11.5,2.6
2020/6/28 11:06:00,34.91006233,135.448001,195.2,87,26.20000076,6.2,11,2.1
2020/6/28 11:06:10,34.90996317,135.4480792,196.7,86,26.29999924,6.3,12.4,3.6
2020/6/28 11:06:20,34.90986333,135.4480613,197.7,86.59999847,26.20000076,6.9,12.1,3.9
2020/6/28 11:06:30,34.90977533,135.4479985,197.9,89.40000153,26.29999924,6.8,11.3,3
2020/6/28 11:06:40,34.90966999,135.4479299,198.258,87.59999847,26.29999924,6.5,11.2,2.6
2020/6/28 11:06:50,34.9095595,135.4478975,199.8,85.69999695,26.29999924,6.3,10.6,1.8
2020/6/28 11:07:00,34.90945733,135.447923,201.5,85.30000305,26.29999924,6.3,12,3.2
2020/6/28 11:07:10,34.90937326,135.447971,202.655,85.5,26.29999924,6.6,12.3,3.8
2020/6/28 11:07:20,34.90933042,135.4480733,203.472,87.80000305,26.29999924,6.7,11.6,3.2
2020/6/28 11:07:30,34.9093015,135.4482082,203.2,87.80000305,26.29999924,6.3,10,1.2
2020/6/28 11:07:40,34.90929133,135.4483427,203.4,87.69999695,26.29999924,6.3,9.9,1.1
2020/6/28 11:07:50,34.90929683,135.448472,202.4,87.19999695,26.39999962,6.4,9.6,0.9
2020/6/28 11:08:00,34.90931117,135.4486028,202.5,87.69999695,26.39999962,6.6,8.7,0.2
2020/6/28 11:08:10,34.90936683,135.4487248,204.1,87,26.39999962,6.7,9.3,0.9
2020/6/28 11:08:20,34.90939083,135.448847,204.3,85.5,26.39999962,6.6,9.4,0.9
2020/6/28 11:08:30,34.90939933,135.4489333,205.9,85.69999695,26.39999962,6.1,10.9,1.9
2020/6/28 11:08:40,34.909399,135.4490438,206.3,86.5,26.5,5.8,10.2,0.9
2020/6/28 11:08:50,34.90944683,135.4491483,205.6,88.19999695,26.39999962,6.1,10.7,1.7
2020/6/28 11:09:00,34.90948067,135.4492582,204.6,88.09999847,26.39999962,7.6,12.4,4.9
2020/6/28 11:09:10,34.90953696,135.4493898,203.347,88.5,26.39999962,9.2,24,18.1
2020/6/28 11:09:20,34.9095985,135.4495227,202.7,89.90000153,26.20000076,10.7,35.5,5.6
2020/6/28 11:09:30,34.90963517,135.4496588,201.8,89.09999847,26.10000038,11.1,38.2,8.7
