Time Period,start:,2020/6/28 17:17,end:,2020/6/29 18:32,,,,,
Sensors:,SDS011_1,DHT22_1,,,,,,,
Location:,Myoukenguchi_GPS,Lat-Lon,34.77495267,135.4531913,,,,,
Interval time,10,,,,,,,,
time,lat,lon,alt,DHT-RH,DHT-T,sds-pm2.5,sds-pm10,sds-TSP,
2020/6/29 17:31,34.78442536,135.4533107,nan,50.70000076,29.39999962,16.3,19.8,21,0
2020/6/29 17:32,34.78423581,135.453349,nan,51.29999924,29.39999962,16.2,19.7,20.8,0
2020/6/29 17:31,34.78442536,135.4533107,nan,51.40000153,29.39999962,15.9,19.9,20.7,0
2020/6/29 17:32,34.7839549,135.4533096,nan,50.79999924,29.29999924,15.9,19.9,20.7,0
2020/6/29 17:32,34.7839549,135.4533096,nan,51.09999847,29.29999924,15.2,17.6,17.7,0
2020/6/29 17:32,34.7837341,135.4532883,nan,51,29.29999924,15.1,21.3,21.3,0
2020/6/29 17:32,34.7837341,135.4532883,nan,51.09999847,29.29999924,nan,nan,nan,999
2020/6/29 17:32,34.78351924,135.4532099,nan,51.09999847,29.39999962,15.4,21.8,22.1,0
2020/6/29 17:32,34.78351924,135.4532099,nan,51.09999847,29.39999962,15.4,21.9,22.2,0
2020/6/29 17:32,34.78334572,135.4531676,nan,51,29.39999962,15.7,23.8,24.4,0
2020/6/29 17:32,34.78334572,135.4531676,nan,51.09999847,29.39999962,15.7,23.6,24.2,0
2020/6/29 17:32,34.78303369,135.4531247,nan,51.20000076,29.5,15.7,23.7,24.3,0
2020/6/29 17:32,34.78303369,135.4531247,nan,51,29.5,15.6,19.9,20.4,0
2020/6/29 17:33,34.78293989,135.4534033,nan,50.90000153,29.5,15.7,20.6,21.2,0
2020/6/29 17:33,34.78293989,135.4534033,nan,51,29.5,nan,nan,nan,999
2020/6/29 17:33,34.78293737,135.4536279,nan,51,29.5,15.7,19.4,20,0
2020/6/29 17:33,34.78293737,135.4536279,nan,50.70000076,29.5,15.8,19.2,19.9,0
2020/6/29 17:33,34.78272387,135.453309,nan,50.70000076,29.5,15.5,19,19.4,0
2020/6/29 17:33,34.78272387,135.453309,nan,50.59999847,29.39999962,15.6,19.3,19.8,0
2020/6/29 17:33,nan,nan,nan,50.70000076,29.29999924,15.1,17.2,17.2,0
2020/6/29 17:33,nan,nan,nan,50.59999847,29.29999924,15.3,17.3,17.5,0
2020/6/29 17:33,34.78242527,135.4531954,nan,50.79999924,29.29999924,nan,nan,nan,999
2020/6/29 17:33,34.78242527,135.4531954,nan,50.90000153,29.39999962,14.9,17.6,17.4,0
2020/6/29 17:33,34.78244331,135.4530251,nan,50.90000153,29.39999962,15.3,19.6,19.8,0
2020/6/29 17:33,34.78244331,135.4530251,nan,50.90000153,29.5,15.4,19.9,20.2,0
2020/6/29 17:34,34.78242584,135.4527315,nan,50.90000153,29.5,15.7,19.9,20.5,0
2020/6/29 17:34,34.78242584,135.4527315,nan,50.90000153,29.5,15.4,21.3,21.6,0
2020/6/29 17:34,34.78247014,135.4525122,nan,50.90000153,29.60000038,15.5,21,21.4,0
2020/6/29 17:34,34.78247014,135.4525122,nan,50.90000153,29.60000038,nan,nan,nan,999
2020/6/29 17:34,34.78226097,135.4523336,nan,51,29.60000038,nan,nan,nan,nan
2020/6/29 17:34,nan,nan,nan,51,29.60000038,nan,nan,nan,999
2020/6/29 17:34,34.78195623,135.4522765,nan,51,29.5,15.6,18.7,19.2,0
2020/6/29 17:34,34.78195623,135.4522765,nan,51.09999847,29.5,15.5,18.5,18.9,0
2020/6/29 17:34,nan,nan,nan,51.09999847,29.39999962,nan,nan,nan,999
2020/6/29 17:34,nan,nan,nan,51.20000076,29.5,nan,nan,nan,999
2020/6/29 17:34,nan,nan,nan,51.20000076,29.39999962,15.3,23.7,23.9,0
2020/6/29 17:34,nan,nan,nan,51.5,29.39999962,15.1,24.8,24.8,0
2020/6/29 17:35,34.780968,135.4520683,11.9,51.40000153,29.29999924,15.1,23.7,23.7,0
2020/6/29 17:35,34.780968,135.4520683,11.9,51.5,29.39999962,nan,nan,nan,999
2020/6/29 17:35,34.78069183,135.4520917,15.2,51.70000076,29.29999924,15.3,24.7,24.9,0
2020/6/29 17:35,34.78069183,135.4520917,15.2,52,29.20000076,15.2,24.2,24.3,0
2020/6/29 17:35,34.78043183,135.4521513,15.7,51.70000076,29.20000076,15.1,21.7,21.7,0
2020/6/29 17:35,34.78043183,135.4521513,15.7,51.59999847,29.20000076,15,20.6,20.5,0
2020/6/29 17:35,34.780186,135.4521773,18.8,51.5,29.20000076,14.9,20.3,20.1,0
2020/6/29 17:35,34.780186,135.4521773,18.8,51.59999847,29.20000076,14.8,20.3,20,0
2020/6/29 17:35,34.77992383,135.4522263,17.9,51.59999847,29.20000076,15,21,20.9,0
2020/6/29 17:35,34.77992383,135.4522263,17.9,51.59999847,29.10000038,15.3,21,21.2,0
2020/6/29 17:35,34.77967367,135.4522668,18.6,52.09999847,29.10000038,15.5,22.4,22.8,0
2020/6/29 17:35,34.77967367,135.4522668,18.6,52.5,29.10000038,15.6,22.4,22.9,0
2020/6/29 17:36,34.779429,135.4523058,18.3,52.70000076,29,15.6,21.9,22.4,0
2020/6/29 17:36,34.779429,135.4523058,18.3,52.40000153,29,14.9,18.5,18.3,0
2020/6/29 17:36,34.7791895,135.4523255,16.8,52.20000076,28.89999962,15.2,19.8,19.9,0
2020/6/29 17:36,34.7791895,135.4523255,16.8,52.5,28.89999962,15,19.6,19.5,0
2020/6/29 17:36,34.77895417,135.4524025,14.4,52.5,28.89999962,14.7,18.2,17.8,0
2020/6/29 17:36,34.77895417,135.4524025,14.4,52.5,28.79999924,14.7,16.9,16.5,0
2020/6/29 17:36,34.778712,135.452478,15,52.59999847,28.89999962,14.5,16.5,15.9,0
2020/6/29 17:36,34.778712,135.452478,15,52.59999847,28.89999962,14.6,17.3,16.8,0
2020/6/29 17:36,34.77850333,135.4525347,16,52.59999847,28.79999924,14.4,16.8,16.1,0
2020/6/29 17:36,34.77850333,135.4525347,16,52.5,28.89999962,14.5,18.3,17.7,0
2020/6/29 17:36,34.77845033,135.452604,16.5,52.40000153,28.89999962,14.5,18.1,17.5,0
2020/6/29 17:36,34.77845033,135.452604,16.5,52.09999847,28.89999962,14.5,17.7,17.1,0
2020/6/29 17:37,34.778241,135.4525858,15.8,52.20000076,28.89999962,15.4,20.2,20.5,0
2020/6/29 17:37,34.778241,135.4525858,15.8,51.90000153,28.79999924,15.6,20.7,21.2,0
2020/6/29 17:37,34.77797183,135.4526203,16,52.09999847,28.79999924,nan,nan,nan,999
2020/6/29 17:37,34.77797189,135.4526204,16.21,52,28.70000076,15.6,19.7,20.2,0
2020/6/29 17:37,34.777716,135.4526625,16,52,28.70000076,nan,nan,nan,nan
2020/6/29 17:37,34.777716,135.4526625,16,52,28.70000076,16.2,20.4,21.5,0
2020/6/29 17:37,34.77744517,135.4527033,17,53.90000153,28.60000038,16,19.7,20.6,0
2020/6/29 17:37,34.77744517,135.4527033,17,53.5,28.60000038,15.3,18,18.2,0
2020/6/29 17:37,34.7772235,135.4527415,16.1,53.20000076,28.5,15,17.6,17.5,0
2020/6/29 17:37,34.7772235,135.4527415,16.1,53,28.5,14.5,17,16.4,0
2020/6/29 17:37,34.77700067,135.4527762,15.7,52.79999924,28.5,13.7,15.6,14.2,0
2020/6/29 17:37,34.77700067,135.4527762,15.7,53.70000076,28.5,13.6,15.2,13.7,0
2020/6/29 17:38,34.776762,135.4528138,14.3,53.59999847,28.5,nan,nan,nan,999
2020/6/29 17:38,34.776762,135.4528138,14.3,52.90000153,28.5,14.1,16,15,0
2020/6/29 17:38,34.7765205,135.4528422,14.1,52.29999924,28.5,15.5,18.7,19.1,0
2020/6/29 17:38,34.7765205,135.4528422,14.1,52.09999847,28.39999962,16.1,21.6,22.6,0
2020/6/29 17:38,34.7762765,135.4528698,12.6,52.20000076,28.39999962,16.3,22,23.2,0
2020/6/29 17:38,34.7762765,135.4528698,12.6,51.90000153,28.39999962,nan,nan,nan,999
2020/6/29 17:38,34.77602817,135.4528678,11.5,52,28.39999962,16,21.9,22.8,0
2020/6/29 17:38,34.77602817,135.4528678,11.5,51.79999924,28.39999962,16,22.1,23,0
2020/6/29 17:38,34.775764,135.4528837,13,52.90000153,28.39999962,16,21.8,22.7,0
2020/6/29 17:38,34.775764,135.4528837,13,52.79999924,28.39999962,14.6,17.9,17.4,0
2020/6/29 17:38,34.775519,135.4529352,12.1,52.79999924,28.39999962,14.4,18.4,17.7,0
2020/6/29 17:38,34.775519,135.4529352,12.1,52.90000153,28.39999962,14,17.5,16.4,0
